math_marks,english_marks,science_marks,interest,budget_preference,location_preference,learning_style,career_goal
61,72,65,Engineering,Premium Investment,Anywhere in SA,Structured Learning,Entrepreneurial
86,84,78,Arts,Balanced,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
61,68,63,Science,Premium Investment,Western Cape,Structured Learning,Long-term Growth
85,63,63,Law,Balanced,Western Cape,Flexible Learning,Entrepreneurial
76,73,79,Arts,Balanced,Other Provinces,Hands-on Practical,Quick Employment
92,93,69,Environment,Budget Conscious,Kwazulu-Natal,Flexible Learning,Quick Employment
68,70,83,Technology,Budget Conscious,Other Provinces,Structured Learning,Quick Employment
88,62,94,Law,Premium Investment,Gauteng,Hands-on Practical,Entrepreneurial
85,87,85,Social Sciences,Balanced,Western Cape,Flexible Learning,Quick Employment
94,88,80,Law,Budget Conscious,Other Provinces,Flexible Learning,Quick Employment
84,68,80,Business,Premium Investment,Gauteng,Flexible Learning,Quick Employment
83,62,69,Environment,Budget Conscious,Other Provinces,Structured Learning,Long-term Growth
72,84,63,Sports,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
66,93,79,Mathematics,Balanced,Kwazulu-Natal,Structured Learning,Entrepreneurial
95,71,76,Arts,Balanced,Kwazulu-Natal,Structured Learning,Entrepreneurial
79,68,66,Business,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
60,74,63,Law,Budget Conscious,Anywhere in SA,Hands-on Practical,Entrepreneurial
67,84,88,Business,Balanced,Gauteng,Structured Learning,Long-term Growth
75,64,73,Medicine,Premium Investment,Gauteng,Structured Learning,Long-term Growth
73,70,62,Environment,Balanced,Kwazulu-Natal,Structured Learning,Entrepreneurial
71,93,83,Mathematics,Budget Conscious,Anywhere in SA,Structured Learning,Quick Employment
82,83,75,Education,Premium Investment,Kwazulu-Natal,Flexible Learning,Quick Employment
74,74,63,Technology,Budget Conscious,Anywhere in SA,Structured Learning,Entrepreneurial
87,67,83,Law,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
93,64,93,Environment,Budget Conscious,Western Cape,Structured Learning,Long-term Growth
61,85,89,Education,Premium Investment,Western Cape,Hands-on Practical,Entrepreneurial
91,77,77,Education,Premium Investment,Other Provinces,Flexible Learning,Long-term Growth
82,65,78,Science,Budget Conscious,Kwazulu-Natal,Flexible Learning,Entrepreneurial
81,72,90,Mathematics,Premium Investment,Gauteng,Flexible Learning,Quick Employment
84,87,78,Business,Balanced,Other Provinces,Flexible Learning,Quick Employment
81,64,78,Education,Budget Conscious,Western Cape,Hands-on Practical,Entrepreneurial
81,72,81,Medicine,Balanced,Kwazulu-Natal,Structured Learning,Long-term Growth
65,76,83,Environment,Budget Conscious,Other Provinces,Flexible Learning,Quick Employment
74,91,71,Engineering,Premium Investment,Kwazulu-Natal,Hands-on Practical,Long-term Growth
92,88,89,Engineering,Premium Investment,Western Cape,Flexible Learning,Entrepreneurial
67,62,90,Sports,Premium Investment,Other Provinces,Structured Learning,Entrepreneurial
64,93,95,Sports,Budget Conscious,Western Cape,Flexible Learning,Quick Employment
63,86,78,Law,Balanced,Anywhere in SA,Hands-on Practical,Entrepreneurial
65,72,95,Sports,Balanced,Western Cape,Structured Learning,Quick Employment
91,92,89,Social Sciences,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Long-term Growth
89,65,92,Business,Budget Conscious,Gauteng,Structured Learning,Quick Employment
94,83,77,Social Sciences,Balanced,Western Cape,Structured Learning,Quick Employment
75,78,87,Education,Balanced,Gauteng,Structured Learning,Long-term Growth
72,75,70,Environment,Balanced,Anywhere in SA,Flexible Learning,Quick Employment
89,87,92,Law,Balanced,Other Provinces,Hands-on Practical,Quick Employment
78,92,76,Arts,Budget Conscious,Other Provinces,Hands-on Practical,Entrepreneurial
76,72,65,Education,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
78,84,63,Business,Premium Investment,Other Provinces,Structured Learning,Quick Employment
87,95,79,Engineering,Balanced,Western Cape,Flexible Learning,Long-term Growth
85,86,86,Mathematics,Premium Investment,Gauteng,Structured Learning,Long-term Growth
85,66,74,Sports,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
82,64,65,Science,Budget Conscious,Western Cape,Flexible Learning,Entrepreneurial
68,90,73,Environment,Premium Investment,Western Cape,Flexible Learning,Long-term Growth
71,82,70,Technology,Balanced,Western Cape,Flexible Learning,Quick Employment
60,69,68,Mathematics,Balanced,Kwazulu-Natal,Hands-on Practical,Long-term Growth
60,91,85,Social Sciences,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
93,89,75,Sports,Balanced,Other Provinces,Flexible Learning,Entrepreneurial
91,90,64,Law,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
84,77,69,Social Sciences,Premium Investment,Anywhere in SA,Structured Learning,Quick Employment
60,95,62,Environment,Budget Conscious,Gauteng,Flexible Learning,Quick Employment
75,61,72,Social Sciences,Balanced,Other Provinces,Flexible Learning,Entrepreneurial
64,73,89,Environment,Balanced,Kwazulu-Natal,Structured Learning,Quick Employment
81,72,65,Social Sciences,Balanced,Western Cape,Structured Learning,Entrepreneurial
88,88,76,Mathematics,Premium Investment,Western Cape,Structured Learning,Quick Employment
62,71,78,Medicine,Balanced,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
71,61,94,Mathematics,Premium Investment,Anywhere in SA,Hands-on Practical,Long-term Growth
85,91,85,Arts,Balanced,Anywhere in SA,Structured Learning,Entrepreneurial
75,72,64,Education,Balanced,Gauteng,Flexible Learning,Entrepreneurial
81,86,88,Education,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
88,76,79,Business,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
73,90,80,Sports,Balanced,Kwazulu-Natal,Flexible Learning,Quick Employment
87,93,69,Mathematics,Budget Conscious,Other Provinces,Hands-on Practical,Quick Employment
64,83,64,Mathematics,Premium Investment,Western Cape,Flexible Learning,Quick Employment
89,94,95,Technology,Premium Investment,Western Cape,Hands-on Practical,Quick Employment
64,65,65,Technology,Balanced,Western Cape,Flexible Learning,Long-term Growth
71,78,85,Business,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
75,89,63,Science,Balanced,Kwazulu-Natal,Flexible Learning,Entrepreneurial
85,66,94,Education,Budget Conscious,Gauteng,Flexible Learning,Entrepreneurial
85,69,60,Science,Budget Conscious,Western Cape,Hands-on Practical,Long-term Growth
80,91,83,Sports,Balanced,Gauteng,Hands-on Practical,Entrepreneurial
95,93,95,Environment,Budget Conscious,Western Cape,Flexible Learning,Long-term Growth
92,87,65,Environment,Budget Conscious,Gauteng,Flexible Learning,Long-term Growth
89,74,90,Engineering,Balanced,Gauteng,Hands-on Practical,Long-term Growth
82,89,79,Social Sciences,Balanced,Other Provinces,Flexible Learning,Entrepreneurial
69,88,83,Technology,Budget Conscious,Gauteng,Flexible Learning,Long-term Growth
64,81,84,Engineering,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
95,63,95,Arts,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
93,79,80,Business,Balanced,Western Cape,Flexible Learning,Quick Employment
90,91,89,Business,Balanced,Gauteng,Structured Learning,Quick Employment
69,95,83,Environment,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
78,63,89,Mathematics,Budget Conscious,Western Cape,Hands-on Practical,Long-term Growth
91,86,81,Education,Premium Investment,Anywhere in SA,Structured Learning,Entrepreneurial
60,76,87,Science,Premium Investment,Western Cape,Structured Learning,Long-term Growth
64,71,66,Technology,Premium Investment,Kwazulu-Natal,Flexible Learning,Long-term Growth
63,81,94,Engineering,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
75,76,87,Science,Balanced,Kwazulu-Natal,Structured Learning,Long-term Growth
83,69,73,Mathematics,Balanced,Anywhere in SA,Hands-on Practical,Long-term Growth
75,60,69,Engineering,Budget Conscious,Other Provinces,Hands-on Practical,Entrepreneurial
61,81,75,Social Sciences,Budget Conscious,Western Cape,Flexible Learning,Entrepreneurial
87,85,75,Arts,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
91,77,90,Arts,Budget Conscious,Western Cape,Hands-on Practical,Entrepreneurial
86,73,84,Science,Premium Investment,Anywhere in SA,Flexible Learning,Quick Employment
79,88,72,Science,Balanced,Other Provinces,Hands-on Practical,Long-term Growth
83,71,65,Science,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
71,95,68,Engineering,Budget Conscious,Western Cape,Structured Learning,Entrepreneurial
94,94,95,Social Sciences,Budget Conscious,Other Provinces,Flexible Learning,Entrepreneurial
92,71,79,Medicine,Premium Investment,Other Provinces,Structured Learning,Long-term Growth
92,66,77,Science,Premium Investment,Anywhere in SA,Structured Learning,Quick Employment
71,88,80,Education,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Long-term Growth
62,70,63,Sports,Balanced,Western Cape,Hands-on Practical,Long-term Growth
60,92,92,Mathematics,Balanced,Gauteng,Hands-on Practical,Entrepreneurial
92,65,86,Sports,Balanced,Gauteng,Flexible Learning,Quick Employment
69,74,66,Technology,Budget Conscious,Anywhere in SA,Hands-on Practical,Long-term Growth
88,91,65,Technology,Balanced,Western Cape,Structured Learning,Entrepreneurial
72,70,74,Mathematics,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
71,82,77,Engineering,Premium Investment,Anywhere in SA,Hands-on Practical,Long-term Growth
90,85,91,Mathematics,Budget Conscious,Western Cape,Flexible Learning,Entrepreneurial
61,93,70,Sports,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
94,93,79,Sports,Budget Conscious,Anywhere in SA,Structured Learning,Quick Employment
82,88,83,Science,Balanced,Kwazulu-Natal,Flexible Learning,Long-term Growth
76,63,74,Environment,Balanced,Western Cape,Hands-on Practical,Entrepreneurial
85,76,66,Business,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
67,94,80,Medicine,Premium Investment,Western Cape,Structured Learning,Quick Employment
88,72,85,Sports,Budget Conscious,Anywhere in SA,Hands-on Practical,Quick Employment
85,74,73,Education,Balanced,Western Cape,Structured Learning,Entrepreneurial
69,88,80,Mathematics,Budget Conscious,Kwazulu-Natal,Flexible Learning,Quick Employment
85,88,77,Social Sciences,Balanced,Kwazulu-Natal,Flexible Learning,Entrepreneurial
93,70,64,Environment,Premium Investment,Western Cape,Structured Learning,Long-term Growth
66,91,62,Sports,Premium Investment,Anywhere in SA,Hands-on Practical,Quick Employment
63,61,82,Mathematics,Budget Conscious,Gauteng,Flexible Learning,Long-term Growth
70,73,85,Arts,Premium Investment,Kwazulu-Natal,Flexible Learning,Long-term Growth
88,79,83,Environment,Premium Investment,Kwazulu-Natal,Hands-on Practical,Long-term Growth
95,81,78,Engineering,Budget Conscious,Gauteng,Flexible Learning,Entrepreneurial
84,70,84,Medicine,Balanced,Western Cape,Structured Learning,Long-term Growth
80,86,80,Law,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
95,62,71,Law,Budget Conscious,Western Cape,Flexible Learning,Long-term Growth
69,76,92,Science,Premium Investment,Other Provinces,Hands-on Practical,Entrepreneurial
68,87,63,Science,Premium Investment,Kwazulu-Natal,Structured Learning,Long-term Growth
83,88,66,Engineering,Premium Investment,Other Provinces,Hands-on Practical,Long-term Growth
94,80,81,Social Sciences,Premium Investment,Kwazulu-Natal,Flexible Learning,Quick Employment
94,75,92,Science,Budget Conscious,Kwazulu-Natal,Flexible Learning,Entrepreneurial
95,79,76,Business,Budget Conscious,Other Provinces,Hands-on Practical,Long-term Growth
77,65,83,Sports,Budget Conscious,Other Provinces,Hands-on Practical,Quick Employment
91,78,93,Medicine,Premium Investment,Western Cape,Hands-on Practical,Entrepreneurial
83,64,87,Mathematics,Premium Investment,Other Provinces,Structured Learning,Entrepreneurial
82,62,81,Engineering,Premium Investment,Western Cape,Flexible Learning,Entrepreneurial
91,60,76,Technology,Budget Conscious,Western Cape,Hands-on Practical,Entrepreneurial
71,74,93,Mathematics,Premium Investment,Western Cape,Flexible Learning,Entrepreneurial
72,93,65,Mathematics,Balanced,Kwazulu-Natal,Structured Learning,Entrepreneurial
82,94,65,Arts,Premium Investment,Kwazulu-Natal,Structured Learning,Long-term Growth
84,84,93,Engineering,Balanced,Other Provinces,Structured Learning,Long-term Growth
94,83,60,Engineering,Premium Investment,Kwazulu-Natal,Structured Learning,Long-term Growth
89,71,69,Law,Budget Conscious,Other Provinces,Flexible Learning,Long-term Growth
76,77,80,Education,Premium Investment,Kwazulu-Natal,Structured Learning,Quick Employment
79,74,64,Social Sciences,Balanced,Anywhere in SA,Structured Learning,Long-term Growth
84,75,61,Education,Balanced,Anywhere in SA,Hands-on Practical,Entrepreneurial
81,86,81,Business,Premium Investment,Other Provinces,Structured Learning,Long-term Growth
72,67,61,Technology,Balanced,Kwazulu-Natal,Hands-on Practical,Long-term Growth
78,84,69,Mathematics,Balanced,Kwazulu-Natal,Structured Learning,Entrepreneurial
95,76,93,Law,Budget Conscious,Western Cape,Structured Learning,Long-term Growth
71,88,75,Technology,Premium Investment,Gauteng,Hands-on Practical,Long-term Growth
78,67,81,Mathematics,Premium Investment,Other Provinces,Structured Learning,Long-term Growth
71,74,71,Business,Premium Investment,Gauteng,Flexible Learning,Quick Employment
68,86,83,Education,Balanced,Gauteng,Flexible Learning,Long-term Growth
66,66,69,Engineering,Premium Investment,Other Provinces,Structured Learning,Entrepreneurial
87,62,94,Science,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
73,88,91,Science,Budget Conscious,Other Provinces,Hands-on Practical,Long-term Growth
90,83,66,Sports,Budget Conscious,Gauteng,Structured Learning,Long-term Growth
78,62,80,Environment,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
75,79,79,Arts,Balanced,Anywhere in SA,Hands-on Practical,Entrepreneurial
64,74,85,Social Sciences,Premium Investment,Other Provinces,Hands-on Practical,Entrepreneurial
94,84,63,Business,Budget Conscious,Other Provinces,Hands-on Practical,Quick Employment
71,89,81,Arts,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
84,73,74,Sports,Budget Conscious,Anywhere in SA,Hands-on Practical,Quick Employment
80,66,80,Sports,Premium Investment,Anywhere in SA,Hands-on Practical,Entrepreneurial
95,76,74,Social Sciences,Premium Investment,Kwazulu-Natal,Flexible Learning,Quick Employment
82,79,81,Mathematics,Premium Investment,Western Cape,Flexible Learning,Long-term Growth
75,95,87,Arts,Balanced,Other Provinces,Structured Learning,Long-term Growth
73,68,73,Education,Balanced,Other Provinces,Flexible Learning,Entrepreneurial
90,81,86,Social Sciences,Budget Conscious,Gauteng,Flexible Learning,Quick Employment
64,61,87,Sports,Premium Investment,Kwazulu-Natal,Hands-on Practical,Long-term Growth
94,83,85,Education,Budget Conscious,Gauteng,Hands-on Practical,Entrepreneurial
82,67,61,Engineering,Premium Investment,Gauteng,Flexible Learning,Quick Employment
88,70,84,Law,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
70,72,62,Education,Premium Investment,Other Provinces,Flexible Learning,Quick Employment
77,76,67,Mathematics,Balanced,Gauteng,Structured Learning,Entrepreneurial
71,67,92,Science,Balanced,Anywhere in SA,Structured Learning,Quick Employment
68,80,94,Arts,Premium Investment,Kwazulu-Natal,Structured Learning,Entrepreneurial
69,77,65,Mathematics,Budget Conscious,Gauteng,Flexible Learning,Quick Employment
76,89,82,Environment,Premium Investment,Other Provinces,Flexible Learning,Long-term Growth
66,77,84,Medicine,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
72,90,78,Sports,Budget Conscious,Kwazulu-Natal,Structured Learning,Entrepreneurial
68,91,64,Social Sciences,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
86,70,70,Business,Budget Conscious,Other Provinces,Hands-on Practical,Quick Employment
61,84,71,Environment,Balanced,Anywhere in SA,Structured Learning,Quick Employment
64,92,69,Science,Balanced,Other Provinces,Flexible Learning,Long-term Growth
88,67,67,Education,Budget Conscious,Anywhere in SA,Flexible Learning,Entrepreneurial
78,70,83,Law,Balanced,Western Cape,Hands-on Practical,Entrepreneurial
67,81,87,Mathematics,Balanced,Other Provinces,Flexible Learning,Quick Employment
60,83,95,Engineering,Budget Conscious,Other Provinces,Flexible Learning,Quick Employment
81,76,80,Medicine,Balanced,Kwazulu-Natal,Structured Learning,Long-term Growth
76,71,67,Technology,Premium Investment,Gauteng,Structured Learning,Long-term Growth
66,91,68,Environment,Premium Investment,Anywhere in SA,Hands-on Practical,Quick Employment
84,74,74,Law,Budget Conscious,Anywhere in SA,Hands-on Practical,Entrepreneurial
63,75,77,Technology,Balanced,Kwazulu-Natal,Flexible Learning,Long-term Growth
95,81,79,Medicine,Premium Investment,Kwazulu-Natal,Structured Learning,Quick Employment
65,87,65,Business,Premium Investment,Gauteng,Hands-on Practical,Quick Employment
90,79,71,Business,Balanced,Gauteng,Hands-on Practical,Entrepreneurial
78,92,61,Arts,Balanced,Other Provinces,Hands-on Practical,Quick Employment
86,69,66,Medicine,Premium Investment,Western Cape,Flexible Learning,Quick Employment
69,91,75,Medicine,Premium Investment,Gauteng,Structured Learning,Long-term Growth
85,92,62,Technology,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
78,61,62,Law,Budget Conscious,Gauteng,Structured Learning,Quick Employment
62,92,86,Mathematics,Premium Investment,Anywhere in SA,Hands-on Practical,Long-term Growth
72,92,92,Social Sciences,Budget Conscious,Western Cape,Hands-on Practical,Entrepreneurial
87,72,87,Technology,Premium Investment,Other Provinces,Structured Learning,Entrepreneurial
79,89,60,Engineering,Premium Investment,Anywhere in SA,Structured Learning,Long-term Growth
87,92,67,Business,Budget Conscious,Anywhere in SA,Structured Learning,Long-term Growth
67,72,91,Business,Budget Conscious,Western Cape,Flexible Learning,Entrepreneurial
60,85,63,Arts,Balanced,Other Provinces,Hands-on Practical,Entrepreneurial
62,81,89,Mathematics,Balanced,Kwazulu-Natal,Flexible Learning,Entrepreneurial
72,61,65,Engineering,Balanced,Other Provinces,Structured Learning,Entrepreneurial
87,85,78,Business,Premium Investment,Gauteng,Hands-on Practical,Entrepreneurial
84,74,91,Technology,Budget Conscious,Anywhere in SA,Flexible Learning,Long-term Growth
92,93,68,Engineering,Premium Investment,Gauteng,Hands-on Practical,Quick Employment
65,70,71,Technology,Budget Conscious,Kwazulu-Natal,Flexible Learning,Entrepreneurial
91,62,70,Social Sciences,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
80,65,75,Social Sciences,Balanced,Other Provinces,Flexible Learning,Quick Employment
75,68,60,Business,Balanced,Gauteng,Hands-on Practical,Quick Employment
80,65,80,Business,Balanced,Kwazulu-Natal,Hands-on Practical,Quick Employment
70,68,89,Law,Premium Investment,Kwazulu-Natal,Hands-on Practical,Quick Employment
95,90,72,Social Sciences,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
94,91,93,Mathematics,Budget Conscious,Other Provinces,Structured Learning,Quick Employment
78,71,63,Mathematics,Balanced,Kwazulu-Natal,Flexible Learning,Long-term Growth
79,67,87,Environment,Balanced,Anywhere in SA,Structured Learning,Quick Employment
77,67,90,Environment,Balanced,Kwazulu-Natal,Structured Learning,Quick Employment
73,87,86,Arts,Balanced,Gauteng,Structured Learning,Long-term Growth
74,79,64,Social Sciences,Budget Conscious,Gauteng,Hands-on Practical,Quick Employment
90,66,84,Technology,Premium Investment,Gauteng,Hands-on Practical,Entrepreneurial
60,70,62,Technology,Premium Investment,Other Provinces,Hands-on Practical,Entrepreneurial
62,79,92,Science,Premium Investment,Gauteng,Flexible Learning,Quick Employment
75,75,63,Engineering,Premium Investment,Other Provinces,Hands-on Practical,Long-term Growth
82,63,84,Education,Balanced,Other Provinces,Flexible Learning,Entrepreneurial
70,65,79,Environment,Balanced,Kwazulu-Natal,Hands-on Practical,Long-term Growth
71,81,93,Business,Balanced,Anywhere in SA,Hands-on Practical,Entrepreneurial
69,85,85,Arts,Premium Investment,Kwazulu-Natal,Structured Learning,Quick Employment
91,62,64,Mathematics,Balanced,Kwazulu-Natal,Structured Learning,Long-term Growth
75,73,94,Education,Balanced,Other Provinces,Structured Learning,Long-term Growth
67,70,87,Medicine,Budget Conscious,Other Provinces,Flexible Learning,Long-term Growth
71,77,88,Arts,Budget Conscious,Gauteng,Flexible Learning,Entrepreneurial
83,71,68,Medicine,Balanced,Gauteng,Hands-on Practical,Entrepreneurial
87,82,65,Sports,Budget Conscious,Kwazulu-Natal,Flexible Learning,Entrepreneurial
67,71,78,Social Sciences,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
87,72,70,Medicine,Balanced,Western Cape,Flexible Learning,Entrepreneurial
95,84,61,Medicine,Balanced,Gauteng,Flexible Learning,Quick Employment
85,78,68,Sports,Balanced,Western Cape,Flexible Learning,Long-term Growth
67,95,80,Law,Balanced,Gauteng,Structured Learning,Long-term Growth
87,67,83,Law,Premium Investment,Other Provinces,Flexible Learning,Quick Employment
87,88,93,Law,Premium Investment,Kwazulu-Natal,Structured Learning,Entrepreneurial
95,91,81,Social Sciences,Balanced,Anywhere in SA,Structured Learning,Quick Employment
86,77,62,Education,Budget Conscious,Kwazulu-Natal,Flexible Learning,Long-term Growth
76,65,71,Arts,Balanced,Gauteng,Hands-on Practical,Long-term Growth
68,77,87,Arts,Balanced,Gauteng,Hands-on Practical,Quick Employment
92,78,89,Business,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
79,81,85,Law,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
72,91,80,Social Sciences,Balanced,Western Cape,Hands-on Practical,Quick Employment
87,62,87,Business,Balanced,Western Cape,Structured Learning,Quick Employment
88,87,85,Engineering,Premium Investment,Gauteng,Hands-on Practical,Entrepreneurial
72,69,92,Business,Premium Investment,Gauteng,Flexible Learning,Long-term Growth
94,94,80,Education,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
65,88,94,Environment,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
77,74,93,Medicine,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
64,92,77,Law,Premium Investment,Kwazulu-Natal,Hands-on Practical,Long-term Growth
84,66,70,Sports,Budget Conscious,Anywhere in SA,Flexible Learning,Long-term Growth
61,71,82,Environment,Premium Investment,Western Cape,Flexible Learning,Long-term Growth
69,89,81,Mathematics,Premium Investment,Kwazulu-Natal,Flexible Learning,Long-term Growth
89,80,76,Business,Budget Conscious,Anywhere in SA,Hands-on Practical,Long-term Growth
64,90,64,Social Sciences,Premium Investment,Gauteng,Flexible Learning,Quick Employment
92,83,70,Medicine,Premium Investment,Gauteng,Hands-on Practical,Entrepreneurial
60,79,89,Arts,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
77,63,74,Technology,Balanced,Gauteng,Hands-on Practical,Quick Employment
91,87,86,Medicine,Budget Conscious,Other Provinces,Structured Learning,Quick Employment
70,79,94,Education,Premium Investment,Kwazulu-Natal,Hands-on Practical,Quick Employment
80,83,92,Mathematics,Premium Investment,Anywhere in SA,Flexible Learning,Quick Employment
85,91,79,Education,Premium Investment,Kwazulu-Natal,Hands-on Practical,Long-term Growth
84,95,75,Business,Budget Conscious,Western Cape,Flexible Learning,Long-term Growth
81,93,93,Engineering,Premium Investment,Kwazulu-Natal,Structured Learning,Entrepreneurial
86,95,61,Education,Premium Investment,Gauteng,Hands-on Practical,Quick Employment
72,61,94,Education,Budget Conscious,Gauteng,Flexible Learning,Entrepreneurial
92,74,87,Social Sciences,Balanced,Other Provinces,Structured Learning,Long-term Growth
93,93,65,Business,Balanced,Other Provinces,Structured Learning,Long-term Growth
94,95,68,Medicine,Premium Investment,Other Provinces,Hands-on Practical,Long-term Growth
60,65,79,Engineering,Budget Conscious,Anywhere in SA,Structured Learning,Quick Employment
80,71,60,Environment,Premium Investment,Other Provinces,Flexible Learning,Quick Employment
65,62,67,Technology,Budget Conscious,Anywhere in SA,Structured Learning,Long-term Growth
87,77,82,Law,Budget Conscious,Other Provinces,Structured Learning,Entrepreneurial
76,80,62,Arts,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
64,74,63,Education,Balanced,Kwazulu-Natal,Structured Learning,Long-term Growth
90,92,84,Business,Budget Conscious,Kwazulu-Natal,Structured Learning,Entrepreneurial
64,94,74,Law,Premium Investment,Gauteng,Structured Learning,Long-term Growth
62,85,80,Arts,Balanced,Anywhere in SA,Structured Learning,Entrepreneurial
82,67,94,Arts,Premium Investment,Western Cape,Flexible Learning,Long-term Growth
69,95,73,Environment,Balanced,Gauteng,Structured Learning,Entrepreneurial
69,89,95,Environment,Balanced,Kwazulu-Natal,Flexible Learning,Quick Employment
78,82,71,Environment,Premium Investment,Anywhere in SA,Structured Learning,Long-term Growth
76,73,76,Sports,Balanced,Other Provinces,Structured Learning,Long-term Growth
80,73,68,Science,Balanced,Western Cape,Structured Learning,Entrepreneurial
73,61,94,Science,Premium Investment,Kwazulu-Natal,Structured Learning,Long-term Growth
68,64,72,Arts,Balanced,Gauteng,Flexible Learning,Long-term Growth
60,73,74,Environment,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
72,84,77,Social Sciences,Balanced,Western Cape,Flexible Learning,Quick Employment
63,79,92,Education,Premium Investment,Anywhere in SA,Hands-on Practical,Quick Employment
60,61,65,Law,Budget Conscious,Other Provinces,Structured Learning,Entrepreneurial
91,65,86,Law,Premium Investment,Gauteng,Structured Learning,Quick Employment
93,76,82,Science,Budget Conscious,Anywhere in SA,Flexible Learning,Entrepreneurial
87,84,86,Arts,Balanced,Kwazulu-Natal,Hands-on Practical,Quick Employment
90,87,93,Business,Budget Conscious,Gauteng,Structured Learning,Entrepreneurial
67,61,73,Medicine,Premium Investment,Kwazulu-Natal,Flexible Learning,Quick Employment
85,94,95,Medicine,Premium Investment,Anywhere in SA,Structured Learning,Quick Employment
93,64,67,Science,Balanced,Gauteng,Structured Learning,Entrepreneurial
62,60,94,Business,Budget Conscious,Kwazulu-Natal,Flexible Learning,Long-term Growth
71,71,78,Sports,Balanced,Other Provinces,Flexible Learning,Long-term Growth
60,95,89,Sports,Balanced,Other Provinces,Structured Learning,Quick Employment
64,82,73,Science,Premium Investment,Anywhere in SA,Structured Learning,Entrepreneurial
89,90,79,Medicine,Budget Conscious,Gauteng,Flexible Learning,Long-term Growth
89,70,84,Business,Budget Conscious,Western Cape,Structured Learning,Entrepreneurial
76,69,83,Environment,Budget Conscious,Gauteng,Structured Learning,Long-term Growth
82,62,73,Arts,Budget Conscious,Other Provinces,Flexible Learning,Entrepreneurial
74,73,85,Law,Balanced,Kwazulu-Natal,Structured Learning,Quick Employment
80,75,82,Social Sciences,Balanced,Western Cape,Structured Learning,Entrepreneurial
73,69,81,Engineering,Premium Investment,Anywhere in SA,Hands-on Practical,Long-term Growth
61,88,78,Arts,Balanced,Western Cape,Flexible Learning,Quick Employment
70,69,62,Environment,Balanced,Anywhere in SA,Hands-on Practical,Entrepreneurial
93,71,78,Mathematics,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
93,89,68,Medicine,Premium Investment,Anywhere in SA,Hands-on Practical,Quick Employment
77,60,87,Environment,Premium Investment,Anywhere in SA,Structured Learning,Entrepreneurial
89,64,79,Mathematics,Balanced,Western Cape,Structured Learning,Long-term Growth
74,79,66,Science,Balanced,Western Cape,Hands-on Practical,Entrepreneurial
86,67,73,Business,Premium Investment,Anywhere in SA,Hands-on Practical,Entrepreneurial
93,71,68,Law,Premium Investment,Other Provinces,Hands-on Practical,Quick Employment
92,60,78,Education,Premium Investment,Western Cape,Structured Learning,Quick Employment
83,79,73,Science,Balanced,Gauteng,Hands-on Practical,Long-term Growth
